,document_id,clean_text,sentiment
10,doc_11,mental health issues are a problem in our society or how they are viewed upon and how they are handled the depiction of a deteriorating mind in this not really comic book movie is quite something even scorsese would approve i reckon were talking about a performance too that really surprised me i never thought id see another joker characteractor coming close to what heath ledger did over a decade agobut here we are or are we a question for a different time i guess with a new joker but a movie or rather a story that will keep you on your feet joaquin is so mesmerizing that i would not be surprised if he got the oscar since the nominations came out we know this is a possibility but everyone who watched it was expecting him getting nominated that the movie would get nods though that was quite unexpectednot all is as it seems as with this movie being a drama rather than a thrill park ride now that doesnt mean you have to have one thing and not the other as a big fan of the mcu i can admit really liking this then again this is not even near the dcu dont compare this to something other be it comic books or like a friend to parasite another favorite of mine of enjoy it for what it is a great movie,positive
11,doc_12,the origins of a monsterif you see one film this year please see the joker it does seem that we are getting constant remakes and origins films but this is remarkable i think people are fed up of both mentioned categories because many of the movies were presented with havent come up to scratch the joker however is phenomenal the best film ive seen in the cinema for quite some time i was enthralled from start to finish the story is fantastic the writing thoughtful and intelligentjoaquin phoenix what can you say its a master class performance from him he injects everything needed into the part to make it chilling sad and menacing no wonder the awards are flowingi genuinely cannot remember the last time i left a cinema feeling so rewarded by a filmincredible,positive
12,doc_13,right out of the gate you can forget about considering this a comic book movie it may be based on a comic book character but the character development and story line can be taken right from the pages of modern day horrors brought about by poverty abusive parents disrespect for authority the distance between the haves and the havenots and an uncaring society at large with a plot often times structured on ambiguity the film explores the troubled mind of one arthur fleck brilliantly portrayed by joaquin phoenix in what may eventually go down as the crowning achievement of his acting career no offense intended to jokers who have gone before but phoenixs take on the character now becomes the standard for others to follow but virtually impossible to match i must say the hype engendered by the film prior to its release relative to the amount of violence portrayed appears to be seriously overstated yes there is violence on arthur flecks part all of it gruesome but it virtually pales in comparison to what one might experience in any chapter of the saw series for example or any number of slashergore flicks that rely on buckets of blood to entertain fans of that persuasion together director todd phillips and joaquin phoenix have created a complex character and a complex film dealing with the horrific and sordid side of mental illness that finds its release in savage sociopathic behavior though he may be called the joker as arthur fleck himself would surely attest no ones laughing now,positive
13,doc_14,one of the key tenets of superhero franchises is that there are well defined good guys and bad guys but what if it werent as simple as that todd phillipss joker subverts the genre casting batmans nemesis as the protagonist portraying him as an abused mentally unstable man at the end of his rope in a socially stratified gotham city we also get a different look at the waynes far from the upstanding citizen whom we expect the dad is a heartless creep servant alfred isnt much better its one of the most intense movies that ive ever seen not at all like the comic book adaptations to which were accustomed it deserved its golden globe wins and id say that it deserves at least one of the oscars for which its nominatedin addition to joaquin phoenix as the title character theres also robert deniro as a meanspirited comic frances conroy of six feet under and american horror story as the jokers infirm mother and a number of other people,positive
14,doc_15,from the likes of caesar romero jack nicholson mark hamill heath ledger jared leto and zach galifianakis the iconic batmancd comics character remains a highly distinctive and challenging role and this standalone not part of the dc extended universe and no sequel planned yet explores his origins from oscar bafta and golden globe nominated director todd phillips road trip the hangover war dogs basically set in gotham city socially inept and mentally troubled arthur fleck oscar bafta and golden globe winning joaquin phoenix works as a clownforhire for a company called hahas he aspires to be a standup comedian like his television hero comic and talk show host murray franklin robert de niro arthur lives with his mother penny frances conroy in a place rife with crime and unemployment with much of the population disenfranchised and impoverished arthur suffers from a disorder that causes him to laugh at inappropriate times he depends on social services for medication and he is disregarded and mistreated by society after being attacked in an alley by a gang arthurs coworker randall glenn fleshler lends him a gun arthur invites his neighbour single mother sophie dumond zazie beetz to his debut standup comedy performance and they begin dating while entertaining at a childrens hospital arthurs gun falls out of his pocket randall lies that arthur bought the gun himself and arthur is fired on the subway still in clown makeup arthur is beaten by three drunken wayne enterprises businessmen he takes out the gun and shoots two of the men in selfdefence and executes the third the murders are condemned by billionaire thomas wayne brett cullen a candidate to become mayor of the city he labels those envious of more successful people as clowns demonstrations against gothams rich begin with protesters donning clown masks the social service program is hit by funding cuts leaving arthur without medication arthurs comedy show goes poorly he laughs uncontrollably and has difficulty delivering his jokes murray franklin mocks arthur by showing clips from the routine on his show arthur berates his mother when she reveals the truth as seen written in a letter to thomas wayne alleging that he may be thomas illegitimate son at wayne manor arthur talks to thomas young son bruce dante pereiraolson but gets into a scuffle with family butler alfred pennyworth douglas hodge and flees following a visit from gotham police detective burke shea whigham and detective garrity bill camp who are investigating arthurs involvement in the train murders penny suffers a stroke and is taken to hospital at a public event arthur confronts thomas who tells him that penny is delusional and not his biological mother in denial arthur visits arkham state hospital and steals pennys case file it reveals that he was adopted as a baby and penny allowed her abusive boyfriend to harm them both penny alleged that thomas used his influence to fabricate the adoption and commit her to the asylum to hide their affair distraught arthur goes to the hospital and kills penny smothering her with a pillow he enters sophies apartment unannounced a frightened sophie tells him to leave their previous encounters were arthurs delusions arthur is surprised to receive an invitation to appear on murrays show due to the unexpected popularity of his routine clips as he prepares arthur is visited by randall and fellow excolleague gary celebrity juices leigh gill arthur murders randall in retaliation for getting him fired but allows gary to leave unharmed for treating him well in the past arthur dyes his hair green paints his face and dons a new red suit ready for his performance on the way to the studio he is pursued by the two detectives onto a train filled with clown protesters one accidentally shoots a protester and incites a riot allowing arthur to escape in the chaos before the show goes live arthur requests that murray introduce him as joker a reference to murrays previous mockery arthur walks out to a warm reception but tells morbid jokes with nothing to lose he admits that he killed the men on the train and rants about how society abandons the disenfranchised and how murray mocked him arthur kills murray and is arrested as riots break out across gotham one rioter follows the wayne family into an alley and murders thomas and his wife martha carrie louise putrello sparing a traumatized bruce rioters in an ambulance crash into the police car carrying arthur and free him he dances to the cheers of the crowd satisfied that his dedication has finally been achieved at arkham arthur laughs to himself and tells his psychiatrist she would not understand the joke he runs from orderlies leaving a trail of bloody footprints also starring brian tyree henry as carl the arkham clerk and hannah gross as young penny phoenix delivers a chilling and compelling as the man who slowly loses his sanity and turns to a life of crime and de niro does well with his time onscreen as the man the luckless loner admires and one of the men along wayne he obsesses over this works well as a character study showing how monsters are made an origins story about the dark knights archnemesis and a nod to the martin scorsese film the king of comedy and not just casting de niro and it makes room to take a swipe against at healthcare cuts and poverty it is very controversial and very dark with its crime elements moments of violence and brutality and featuring the song rock and roll part by gary glitter with what we know about the singer it may be wrong to find this song catchy but i dont care and it is at times depressing and uncomfortable but what else would you expect a gritty and great psychological thriller it won the oscar for best original score for hildur guðnadóttir and it was nominated for best motion picture of the year best adapted screenplay for todd phillips and scott silver best cinematography best costume design best makeup and hairstyling best film editing best sound mixing and best sound editing it won the baftas for original music and best casting and it was nominated for best film best adapted screenplay best cinematography best editing best production design best make uphair and best sound and it won the golden globe for best original score and it was nominated for best motion picture drama very good,positive
15,doc_16,arthur fleck is a clown living in gotham city who isnt doing well he is employed to hold an advertising banner outside a store but end up being beaten by a bunch of young thugs his dream is of becoming a professional standup comedian whenever he gets stressed he cant help laughing this leads to a confrontation on the subway which as fatal consequences for a trio of wall street types now the cops are looking for a killer clown some gotham residents feel the victims got what they deserved leading to mayoral candidate billionaire thomas wayne describing the people of the city as clowns arthurs life becomes increasingly difficult he learns his mother has been keeping secrets from him cutbacks mean he loses his access to medication and talk show host murray franklin mocks a video of arthur performing a standup routine on his show it is only a matter of time before arthur and the city lose controlif you go into this hoping for a fun film with a comically villainous lead you are in for quite a shock it may be centred on a famous dc comic creation but a few name changes would lead most viewers thinking this was completely unrelated to the world of batman the film has a very gritty feel we may not be told when it is set but everything we see suggests that gotham is 70s new york from the use of the old warner brothers logo to the graffiti covered subway train cars tvs indoor smoking and general decor joaquin phoenix is on top form as fleck reminding us of de niro at his taxi driver best a film that clearly helped inspire this another clear inspiration is another de niro film the king of comedy so much so that robert de niro himself plays murray franklin he is on fine form here there are no supervillains or heroes here just a man who is becoming increasingly dangerous and out of control there isnt a large amount of violence but what there is is brutal shocking and feels very real overall id definitely recommend this to anybody wanting a gritty character study do not be put off if you arent a fan of comic book films as this is about as far from a typical example as it is possible to be,positive
16,doc_17,one in four people will experience mental illness in their lifetime but only a very small percentage of those will pose any sort of danger to anyone other than themselves hopefully as more people talk about openly about mental health stigma will decrease and all those in need of help will get the treatment they requirethere will of course always be cases that slip through the net with tragic results people like arthur fleck joaquin phoenix whose fragile psyche is the result of a lifetime of hurt a victim of child abuse a victim of violence a victim of intolerance a victim of circumstance a victim of inequality and a victim of a society that doesnt care no longer functioning as a rational human being his access to meds having been taken away fleck confuses reality and fantasy is prone to outbursts of extreme violence and dances wildly to inappropriate pop music from the 70swith a tourdeforce performance from phoenix whose turn as the greenhaired villain is both sympathetic and terrifying plus stylish direction from todd phillips and an intelligent script that is by turns funny sad exciting and horrific joker is a refreshingly bold attempt to do something with a well known comicbook character that doesnt involve expensive cgiladen battles910 the only part that i didnt like was where it is revealed that arthurs relationship with his pretty neighbour has been a figment of his imagination i think most people would have got this without the need to spell it out for them,positive
17,doc_18,with sections of new york and new jersey standing in for gotham city this movie depicts the origin story of the joker joaquin phoenix is arthur fleck still living in a small apartment with his mother working menial jobs he can get with the ambition to be a successful stand up comic but life often deals us hard knocks for no reason at all and arthur with his own mental illness driving him has increasing difficulty handling them it all comes to a head when on the subway dressed in his clown suit after a job when he gets accosted by three wall street typesthe thing about the actor phoenix he always puts himself out there totally he always has he is just perfect here his demeanor his body language his facial expressions even the awkward way he runs he deserves his best actor oscarthis is set at the time when bruce wayne was a young boy the time that he witnessed his parents being killed in the alley after a theater performance there is a brief encounter at the gates of the wayne home of the eventual batman and the eventual jokeri really didnt think id like this movie but it really is a fine one even though fiction of course it shows how mental illness greatly influences the trajectory of ones life it was also fun to see robert de niro as late night show host murray franklin patterned after the old johnny carson show even with a trumpeter as the band leaderi watched it at home on bluray from my public library my wife skipped the disc has a number of worthwhile extras,positive
18,doc_19,right with all the praise and hype that the movie joker from director todd phillips have been getting this is very much a movie that youd eventually find your way to watchingi did so too and let me just say that expectations were high when i sat down to watch joker expectations that the movie didnt live up to man this movie was definitely not my cup of teafirst of all the pacing of the movie talk about being prolonged and dragging on without nothing much of any real worth happening sure joaquin phoenix did a great job in his acting performance as arthur fleck and the gradual downward sloping trip towards becoming the jokerbut the storyline wasnt really one that did much to get me worked up director todd phillips took quite his time to get from a to b and without dishing out much in terms of phenomenal storytelling and movie presentation along the waythere was one scene a single scene that was glorious and it was when arthur fleck was on the murray franklin show and what happened to murray franklin on live tv that scene actually had me laughing but the rest of the movie was somewhat of a slowpaced drag to sit through sure it was somewhat entertaining but awfully slow paced however this is hardly a movie that i will be watching a second time aroundaside from joaquin phoenix in the lead the movie also bolstered performances from the likes of robert de niro and frances conroy whom individually were adding something good to the movie just a shame that they didnt have more screen timei dont understand why critics are so worked up about this movie i honestly dont it wasnt all that particularly outstanding or entertaining sure it is a movie about an iconic villain in the dc universe but that is about as far as it goesi am rating this overhyped and overrated movie a less than mediocre four out of ten stars,negative
19,doc_20,why does this movie exist who does it exist for why do people love it so muchthese questions reverberated inside my head as it played in front of me i was waiting for a moment where i would be awestruck blasted by its sublime genius that so many people had trumped up or maybe even worried by the philosophy that so many people were worried abouti felt absolutely nothingjoker might seem like a good movie if youve never seen taxi driver or the king of comedy but heres my struggle those movies have something to say something to prove they aspire to be art when this film is simply commerceif you think this is a good film tell me what it has to say tell me the meaning of it and why it exists other than the joker is cool or this is the jokers origin story what is the purpose of watching a mans horrible life that never gets better and only gets worse and then the lives he touches get destroyed along the wayi mean is it a cliche to use that sound and fury signifying nothing quote when this movie is so rote that it uses the song white room in perhaps the most obvious of ways nothing is unexpected nothing is unique this movie is the definition of wallpaper albeit wallpaper bought by a tween at hot topic because they desperately yearn for something anything to make them seem different than the herd while mooing their way through the fields of utter boredomdirector todd phillips started his career by directing hated gg allin and the murder junkies while he was still a junior at nyu his second film frat house won the grand jury prize at sundance before hbo bought it it never aired as many of the films participants claimed they were paid to enact the scenes in the moviea third film the phishfollowing bittersweet motel was his last documentary before making the movies road trip and old school for producer ivan reitman his career since has been a series of successes like starsky hutch school for scoundrels due date and the hangover serieswhich brings us to this movieits written by scott silver who wrote mile good and xmen origins wolverine bad he also wrote the fighter which won him an oscar nominationi always feel like you should say something nice firstso heres goesjoaquin phoenixs performance is great its acting desperately searching for a better movie to be in his goal was to play a character that audiences couldnt identify with that seems odd for the main role in a movie studying assassins instead of people who had played the joker beforehe plays arthur fleck who starts out the film as a party clown and aspiring standup comedian who lives with his mother penny francis conroy every season of american horror story a disorder causes him to laugh out loud for no reason and he depends on the government for his medsan attack while working as a clown leaves him needing a gun a gun that falls out of his pocket while working in a childrens hospital he also begins dating his neighbor sophie zazie beats who was in deadpool and slice and finds that a video of him on stage has gone viral ending up on his favorite tv program the murray franklin showthe fact that robert deniro is inversing his the king of comedy role playing jerry langford instead of rupert pumpkin is the type of creativity normally reserved for college freshmen who believe they are the first people to ever read herman hessearthur is beaten up by three drunken wayne enterprises businessmen he shoots two of them in selfdefense before feeling so good about himself that he kills the third this leads to thomas wayne who arthurs mother believes is her sons father denouncing whoever did this killing as a clownsoon people are rioting in the streets wearing clown masks and arthur is finally feeling like his life has meaning however two gotham cops visit his mother looking for the killer of the businessmen and she has a stroke this causes arthur to either go off the deep end or become sane as his meds have run out he realizes that he has no girlfriend and that everything in his mind has been a liethis brings him to the murray franklin show where he embraces the name the joker inciting another riot that also leads to joe chill killing the waynes inside crime alley after a showing of zorro the gay blade yes that really happensanother potentially crazy person was angered by this movie jared leto who portrayed the joker in suicide squad and reportedly sent used condoms and dead rats to his costars was alienated and upset by the fact that warner brothers was making a joker movie without him he even left his agents over this and attempted to get people to cancel this movieive heard words like groundbreaking and oscar being thrown about because of this movie as a society weve really devalued those two words huhthis is a movie that may not even be about the real joker it might not even connect to anything and its a movie about a man forgotten and thrown away that becomes somebody before being nobody its also a waste of two hours of your timeman i should work in some other nice things the cinematography feels large in scope when so many other films seem small these days i also loved seeing the old warner brothers logoi mean this won the gold lion at the venice film festival it also had an eightminute long standing ovationi sat there waiting hoping struggling to find one moment of entertainment and relevance and walked away saying that was a movie it should be something moreinstead ill have to see people wearing this costume and thinking it has some significance these are the same people who think naming the comedy club pogos comedy club is daring because it references john wayne gacy instead of hammer soft ironywe deserve better and have become so mired in the dross that we think that movies like this are worth something im not being an elitist i love popcorn films and if you read this site you know i have a soft spot for italian horror and 80s slashers but when i see something that is s i have to call it the purest s ive seen in years,negative
20,doc_21,this film tells how the joker comes to be the villain he is the problem is that it is so effective and compelling that i really empathise with the joker and his horrible life experiences batmans father is portrayed as the villain and the joker is the victim it juxtaposes good and bad how is the next batman film going to work when batmans now the son of the bad guy,negative
21,doc_22,a masterpiece arthur fleck joaquin phoenix is a pathetic loser in gothams fractured society circa early 1980s by day a clownforhire and by night an aspiring standup comic being a successful comedian he could better care for his sick elderly mother living in a rundown apartment arthur has a neurological malady that has him breaking out in screeching laughter at inopportune situations suffering humiliation and raw despair his comedy is flat and tends to lead to violence when the dysfunctional comic gets his hands on a gun discovers what talent he possess is not for comedy one bad decision after another brings fleck to the center of a chain reaction of chaos giving a new origin myth of batmans notable supervillain opponentthe jokerphoenixs performance is pure brilliance also featured are robert de niro zazie beetz bill camp shea willingham frances conroy and brett cullen,positive
22,doc_23,a movie about stand up comedy i like the bit where he accidentally shot the gun,positive
23,doc_24,you asked for jokerso here he isa murderous monster in greasepaint with an uncontrollable laugh and psychosisthis is the story that spawned batmans archnemesis and the pit of hell where he came fromyou thought the dark knight was darkget a load of jokeryes its a modern incarnation of mans dark side and an attempt to explain what caused this unfortunate to become a devil in disguisethe film has all the ingredients of the macabre nightmarish horror and mental illness that make for a disturbing detour to the mind of a maniac and what made himjoaquin phoenix delivers an unforgettable portrayal of the clown prince of crime in the performance he invokes pathos and the viewer does feel the pangs of empathysomeone saidhate the sinlove the sinnerthe movie is the darkest comicbook movie yet its not unprecedented in its paper origins there have been many a dark tales in the batman universethe joker is a murderer and batman has told him that to his grinning facethe disturbing part here is that we witness the suffering and abuse of the character and cannot be unsympatheticmany critics hate this unrelenting trip to the depths of despair for arthur and seem upset that the film has the audacity to lay bare a soul of constant sorrowi have never been happy one minute in my whole lifearthur fleckjokerthe film is an experience of an existence of extremes its an ugly dirty place gotham it reeks of garbage and is inhabited by super ratsthis is the antithesis of a marvel movie and we deserve itits a dual universe,positive
24,doc_25,ive seen this film twice now at the imax and it just gets better like everyone else i expect as with rami malek last year that joaquin phoenix will be a shoein for all of the major best actor awards he is currently better than oddson in the uk for both the bafta the oscar and very deservedly so his almost schizophrenic performance is both sensitive and brutal haunting and terrifying in equal measure the screenplay is engrossing and todd phillips keeps you captivated for a terrific two hours of cinema given current events in hong kong and to a lesser extent the activities of extinction revolution the ending depicted here does not seem nearly as farfetched as it ought to super stuff,positive
